date,bitcoin,bitcoin_cash,ethereum,litecoin,ripple
24/5/2017,2263.82,310.623,182.896,31.9526,0.348079
10/10/2016,617.449,454.594,12.2402,3.81357,0.00746534
7/2/2015,224.714,338.495,,1.7828,0.0134091
21/8/2016,579.787,424.707,11.1875,3.61091,0.0061123
18/10/2017,5605.89,475.446,312.914,59.2026,0.213036
22/10/2013,129.46,,,1.95993,0.0092795
18/8/2014,590.392,479.557,,5.19019,0.00503855
17/10/2013,131.61,,,2.2532,0.0110409
8/3/2017,1226.8,318.907,19.0037,3.80928,0.00654252
9/12/2015,394.615,565.332,0.790543,3.59028,0.00575255
15/7/2015,293.114,619.898,,4.72308,0.00843108
27/1/2014,835.11,,,25.056,0.021214
7/12/2015,378.439,576.143,0.874011,3.48323,0.00519789
12/9/2015,243.645,630.748,1.20929,2.94721,0.00769178
17/9/2016,608.061,453.142,12.2541,3.81012,0.00792139
14/5/2013,135.3,,,4.18295,
21/10/2017,5974.6,472.804,300.963,57.2995,0.204288
8/4/2016,422.153,510.406,10.691,3.2464,0.00726479
26/9/2015,231.139,617.799,0.854913,2.9165,0.00666719
8/5/2016,458.293,316.598,9.38007,3.92506,0.00643357
25/3/2016,417.746,534.999,11.4615,3.23913,0.00828329
27/1/2016,392.511,641.809,2.71051,3.15547,0.0051388
3/4/2016,421.005,519.099,11.4882,3.2582,0.00744709
13/9/2013,122.5,,,2.67694,0.0064659
16/1/2014,771.15,,,24.144,0.0276943
21/3/2016,412.655,530.989,10.616,3.19888,0.00794431
4/5/2016,444.151,418.239,9.76744,3.70769,0.00666353
11/2/2014,813.91,,,21.6617,0.0203371
11/10/2017,4861.99,399.153,303.513,51.0317,0.260592
9/4/2014,522.284,,,12.7372,0.00997515
13/10/2015,244.646,597.818,0.630541,3.16326,0.00516379
30/12/2016,973.423,353.245,8.27427,4.55491,0.00634269
16/8/2016,573.089,425.169,11.112,3.59366,0.00598597
15/1/2017,833.934,367.525,9.63099,3.88878,0.00681686
14/3/2017,1231.63,318.349,29.9222,4.17106,0.00635133
18/1/2017,886.754,368.661,10.0847,3.94225,0.00668329
28/2/2016,434.231,549.842,5.95649,3.41875,0.00803932
19/9/2013,136.45,,,2.73178,0.00580064
19/12/2015,455.067,600.567,0.918964,3.74616,0.00652947
3/10/2013,130.73,,,2.59031,0.0064294
10/6/2015,225.026,554.956,,1.79089,0.00799682
26/3/2015,260.475,332.751,,1.76814,0.0101799
12/2/2016,382.02,677.356,4.60338,3.09742,0.00780051
15/6/2016,693.612,468.824,18.5445,5.21567,0.00690403
14/4/2017,1180.18,318.152,50.4556,10.1794,0.0347408
18/9/2016,607.679,450.065,12.6776,3.81013,0.00724418
12/12/2016,768.598,398.542,8.19125,3.64304,0.00674938
12/12/2014,372.943,431.506,,3.71138,0.0146708
10/1/2015,266.723,210.276,,2.11378,0.0201015
28/7/2013,88.0622,,,2.86238,
19/10/2013,125.93,,,2.14452,0.00930593
5/9/2014,508.083,357.723,,5.15978,0.00496647
